num_entradas,tempo_ms
100,0.01
1000,0.11
10000,1.46
100000,16.60
1000000,176.00
1250000,222.89
15000,2.23
1500000,270.37
200,0.02
2000,0.26
200000,33.58
2000000,366.10
30000,4.78
500,0.06
5000,0.66
50000,8.13
500000,84.85
7500,0.97
75000,12.40
750000,130.20
100,0.01
1000,0.11
10000,1.42
100000,16.65
1000000,174.99
1250000,224.86
15000,2.23
1500000,271.62
200,0.02
2000,0.24
200000,33.46
2000000,367.72
30000,4.68
500,0.05
5000,0.69
50000,8.29
500000,85.29
7500,1.04
75000,12.26
750000,129.88
100,0.01
1000,0.11
10000,1.44
100000,16.58
1000000,176.22
1250000,223.18
15000,2.24
1500000,272.12
200,0.02
2000,0.26
200000,32.86
2000000,364.89
30000,4.65
500,0.05
5000,0.66
50000,8.25
500000,85.24
7500,1.04
75000,12.16
750000,129.81
100,0.01
1000,0.12
10000,1.44
100000,16.50
1000000,176.43
1250000,222.18
15000,2.21
1500000,271.00
200,0.02
2000,0.24
200000,33.06
2000000,368.22
30000,4.70
500,0.05
5000,0.69
50000,8.23
500000,84.78
7500,1.03
75000,12.35
750000,131.40
100,0.01
1000,0.11
10000,1.43
100000,16.32
1000000,175.38
1250000,223.37
15000,2.22
1500000,270.07
200,0.02
2000,0.24
200000,33.02
2000000,366.24
30000,4.69
500,0.06
5000,0.67
50000,8.13
500000,85.46
7500,1.04
75000,12.22
750000,129.96
100,0.01
1000,0.12
10000,1.46
100000,16.59
1000000,176.14
1250000,225.28
15000,2.22
1500000,269.32
200,0.02
2000,0.24
200000,33.53
2000000,366.76
30000,4.59
500,0.06
5000,0.68
50000,8.15
500000,85.73
7500,1.04
75000,12.38
750000,131.77
